fournisseur;ref_sku;nom_commercial;famille;categorie;gamme;technologie;poids_unitaire;unites_par_colis;colis_par_palette;poids_colis_kg;ingredients;allergenes_declares;traces_possibles;labels;ddm_mois;provenance;statut;id_generique;url_source;date_collecte
Bridor;32923;Mini Pain aux raisins 30g;VIEN;pains-aux-raisins;Les Savoureux;CRU;30g;200;96;6.0;eau, farine de BLÉ, beurre fin (LAIT) 14%, raisins secs 13,3%, sucre, levure, amidon modifié, gluten de BLÉ, sel, lactosérum en poudre (LAIT), stabilisants (acétate de calcium, diphosphate tétrasodique, phosphate disodique), poudre de LAIT écrémé, émulsifiant (lécithine de colza), extrait de carotte, extrait de curcuma, extrait de paprika, agents de traitement de la farine (acide ascorbique, alpha-amylases, hémicellulases), arôme naturel.;gluten, lait;graines de sésame, soja, fruits à coque, œufs;"Végétarien; Beurre; Halal; Beurre Fin";9;n.d.;ACTIF;VIEN-PAIN-30;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/pains-aux-raisins/mini-pain-aux-raisins-30g-32923;2026-09-10
Bridor;32183;Mini Pain aux raisins 30g;VIEN;pains-aux-raisins;Les Savoureux;PAC;30g;260;64;7.8;farine de BLÉ, eau, beurre fin (LAIT) 14%, raisins secs 13,2%, sucre, ŒUFS, levure, amidon modifié, poudre de LAIT entier, sel, gluten de BLÉ, lactosérum en poudre (LAIT), stabilisants (acétate de calcium, diphosphate tétrasodique, phosphate disodique), poudre de LAIT écrémé, extrait de carotte, extrait de curcuma, extrait de paprika, agents de traitement de la farine (acide ascorbique, alpha-amylases, hémicellulases), arôme naturel.ŒUFS issus de poules élevées au sol.;gluten, lait, œufs;graines de sésame, soja, fruits à coque;"Végétarien; Beurre; Oeufs Plein Air; Halal; Oeufs Ponte au Sol; Beurre Fin";12;n.d.;ACTIF;VIEN-PAIN-30;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/pains-aux-raisins/mini-pain-aux-raisins-30g-32183;2026-09-10
Bridor;40407;Croissant fourré Abricot 90g;VIEN;croissants-fourres;Les Maxi Gourmandes;PAC;90g;40;80;3.6;farine de BLÉ, beurre fin (LAIT) 19%, fourrage abricot 15,7% (sirop de glucose, purée d'abricot 5,8%, sucre, gélifiant (pectine), jus de citron concentré, arôme naturel), eau, levure, sucre, ŒUFS, sel, gluten de BLÉ, agents de traitement de la farine (acide ascorbique, alpha-amylases, hémicellulases).ŒUFS issus de poules élevées au sol.;gluten, lait, œufs;graines de sésame, soja, fruits à coque;"Végétarien; Beurre; Oeufs Plein Air; Clean Label; Halal; Oeufs Ponte au Sol; Cultures Boulangères; Beurre Fin";12;n.d.;ACTIF;VIEN-CROI-90;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants-fourres/croissant-fourre-abricot-90g-40407;2026-09-10
Bridor;42970;Croissant fourré abricot SelectBlend 90g;VIEN;croissants-fourres;Les Maxi Gourmandes;PAC;90g;40;80;3.6;farine de BLÉ, matière grasse composée 17,8% (graisse de palme, eau, graisse de coco, beurre concentré (LAIT), émulsifiant (mono- et diglycérides d'acides gras), arôme naturel, colorant (bêta-carotène d'origine naturelle), correcteur d'acidité (acide citrique)), fourrage abricot 15,1% (sucre, purée d'abricot 5,7%, sirop de glucose, gélifiant (pectine), acidifiant (acide citrique), jus de citron concentré, arôme naturel), eau, levure, sucre, finition (sucre, farine de riz, huile de colza hydrogénée, amidon de pomme de terre), ŒUFS, sel, gluten de BLÉ, agents de traitement de la farine (acide ascorbique, alpha-amylases, hémicellulases), épaississant (gomme guar).ŒUFS issus de poules élevées au sol.;gluten, lait, œufs;graines de sésame, soja, fruits à coque;"Végétarien; MGC; Oeufs Plein Air; Halal; Oeufs Ponte au Sol; Select Blend; Cultures Boulangères; Matière Grasse Composée";12;n.d.;ACTIF;VIEN-CROI-90;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants-fourres/croissant-fourre-abricot-selectblend-90g-42970;2026-09-10
Bridor;34421;Croissant fourré Amande 90g;VIEN;croissants-fourres;Les Maxi Gourmandes;PAC;90g;60;64;5.4;"farine de BLÉ, fourrage (sucre, beurre fin (LAIT) 4%, farine de BLÉ, eau, ŒUFS, farine de riz, amidon de BLÉ, amidon modifié, AMANDES en poudre 0,38%, poudre de LAIT entier, poudre de LAIT écrémé, poudre d'AMANDE amère 0,06%, stabilisants (lactate de calcium, diphosphate tétrasodique, phosphate disodique), huile végétale non hydrogénée (coco), arôme naturel, farine de BLÉ malté, agent de traitement de la farine (acide ascorbique), enzyme (gluten), gluten de BLÉ, sirop de glucose, extrait de curcuma, sel, émulsifiant (esters lactiques des mono- et diglycérides d'acides gras), arôme naturel (<b style=""text-...";gluten, lait, fruits à coque, œufs;autres fruits à coque, graines de sésame, soja;"Végétarien; Beurre; Oeufs Plein Air; Halal; Oeufs Ponte au Sol; Cultures Boulangères; Beurre Fin";12;n.d.;ACTIF;VIEN-CROI-90b;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants-fourres/croissant-fourre-amande-90g-34421;2026-09-10
Bridor;35716;Croissant fourré Amandes 95g;VIEN;croissants-fourres;Les Maxi Gourmandes;PAC;95g;60;64;5.7;farine de BLÉ, eau, beurre fin (LAIT) 15%, sucre, AMANDES en poudre 7%, levure, ŒUFS, blanc d'ŒUF, finition 2% (AMANDES effilées), sel, gluten de BLÉ, arôme naturel, agents de traitement de la farine (acide ascorbique, alpha-amylases, hémicellulases).ŒUFS issus de poules élevées au sol.;gluten, lait, fruits à coque, œufs;autres fruits à coque, graines de sésame, soja;"Végétarien; Beurre; Oeufs Plein Air; Clean Label; Halal; Oeufs Ponte au Sol; Cultures Boulangères; Beurre Fin";12;n.d.;ACTIF;VIEN-CROI-95;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/croissants-fourres/croissant-fourre-amandes-95g-35716;2026-09-10
Bridor;38184;Breizh'n'Roll 85g;VIEN;autres-viennoiseries;Les Maxi Gourmandes;PAC;85g;60;96;5.1;farine de BLÉ, beurre fin (LAIT) 24%, eau, sucre, levure, sirop de glucose-fructose, sel, gluten de BLÉ, émulsifiants (mono- et diglycérides d'acides gras, lécithine de colza), levure désactivée, agents de traitement de la farine (acide ascorbique, alpha-amylases, hémicellulases).;gluten, lait;graines de sésame, soja, fruits à coque, œufs;"Végétarien; Beurre; Halal; Cultures Boulangères; Beurre Fin";12;n.d.;ACTIF;VIEN-AUTR-85;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/autres-viennoiseries/breizh-n-roll-85g-38184;2026-09-10
Bridor;39849;Brioche feuilletée spirale 295g;VIEN;autres-viennoiseries;Les Maxi Gourmandes;CUIT;295g;4;96;1.18;farine de BLÉ, beurre fin (LAIT) 28%, ŒUFS, eau, sucre, levure, sel, gluten de BLÉ, émulsifiant (lécithine de colza), agent de traitement de la farine (acide ascorbique).ŒUFS issus de poules élevées au sol.;gluten, lait, œufs;graines de sésame, soja, fruits à coque;"Végétarien; Beurre; Oeufs Plein Air; Clean Label; Halal; Oeufs Ponte au Sol; Beurre Fin";6;n.d.;ACTIF;VIEN-AUTR-295;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/autres-viennoiseries/brioche-feuilletee-spirale-295g-39849;2026-09-10
Bridor;30031;Briochette 60g;VIEN;autres-viennoiseries;Les Mini Gourmandes;CRU;60g;210;64;12.6;farine de BLÉ, ŒUF entier liquide, beurre (LAIT) 15%, eau, sucre, levure, gluten de BLÉ, agents de traitement de la farine (acide ascorbique, enzymes (amylase, xylanase)), sel, émulsifiant (mono- et diglycérides d'acides gras), colorant (caroténoïdes).;gluten, lait, œufs;soja, fruits à coque;"Végétarien; Beurre; Beurre Fin";6;n.d.;ACTIF;VIEN-AUTR-60;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/autres-viennoiseries/briochette-60g-30031;2026-09-10
Bridor;40083;Chausson aux morceaux de pommes 105g;VIEN;autres-viennoiseries;Les Savoureux;PAC;105g;50;96;5.25;fourrage pomme 38% (pommes 26%, purée de pommes 6%, sucre, eau, amidon de maïs, jus concentré de citron, antioxydant (acide ascorbique)), farine de BLÉ, beurre fin (LAIT) 16%, eau, ŒUFS, sel, gluten de BLÉ.ŒUFS issus de poules élevées au sol.;gluten, lait, œufs;graines de sésame, soja, fruits à coque;"Végétarien; Beurre; Oeufs Plein Air; Clean Label; Halal; Oeufs Ponte au Sol; Beurre Fin";12;n.d.;ACTIF;VIEN-AUTR-105;https://www.bridor.com/fr-fr/catalogue-produit/viennoiseries/autres-viennoiseries/chausson-aux-morceaux-de-pommes-105g-40083;2026-09-10
Bridor;32672;Baguette 1778 280g;PAIN;baguettes;Les Gourmets;PRECUIT;280g;25;32;7.0;farine de BLÉ, eau, levain 4% (farine de BLÉ, eau, gluten de BLÉ, farine de BLÉ malté), levure, sel, gluten de BLÉ, flocons de germe de BLÉ, levain de BLÉ dévitalisé déshydraté, farine de BLÉ malté.;gluten;lait, graines de sésame, fruits à coque, œufs;"Source de proteines; Vegan; Végétarien; Clean Label; Halal; Avec Levain";15;n.d.;ACTIF;PAIN-BAGU-280;https://www.bridor.com/fr-fr/catalogue-produit/pains/baguettes/baguette-1778-280g-32672;2026-09-10
Bridor;37449;Baguette BIO 280g;PAIN;baguettes;BIO;PRECUIT;280g;22;32;6.16;farine de BLÉ*, eau, levain (farine de BLÉ*, eau), levure, sel de Guérande, farine d'ORGE* maltée torréfiée.;gluten;lait, graines de sésame, fruits à coque, œufs;"Source de proteines; Vegan; Végétarien; Clean Label; Bio; Halal; Avec Levain";15;n.d.;ACTIF;PAIN-BAGU-280a;https://www.bridor.com/fr-fr/catalogue-produit/pains/baguettes/baguette-bio-280g-37449;2026-09-10
Bridor;36831;Baguette Caractère 280g;PAIN;baguettes;Les Gourmets;PRECUIT;280g;22;36;6.16;farine de BLÉ « Label Rouge » 52,9% (farine de BLÉ, gluten de BLÉ, farine de BLÉ malté, agent de traitement de la farine (acide ascorbique)), eau, levain (farine de BLÉ « Label Rouge » 6,9%, eau, gluten de BLÉ, farine de BLÉ malté, agent de traitement de la farine (acide ascorbique)), farine de maïs torréfié, sel, levure.;gluten;lait, graines de sésame, fruits à coque, œufs;"Source de proteines; Vegan; Végétarien; Clean Label; Halal; Farine CRC; Avec Levain";15;n.d.;ACTIF;PAIN-BAGU-280b;https://www.bridor.com/fr-fr/catalogue-produit/pains/baguettes/baguette-caractere-280g-36831;2026-09-10
Bridor;34792;Baguette de Campagne 280g;PAIN;baguettes;Les Essentiels;PRECUIT;280g;25;32;7.0;farine de BLÉ « Label Rouge » 44,8% (farine de BLÉ, gluten de BLÉ, farine de BLÉ malté, agent de traitement de la farine (acide ascorbique)), eau, levain (farine de BLÉ « Label Rouge » 9,8% (farine de BLÉ, gluten de BLÉ, farine de BLÉ malté, agent de traitement de la farine (acide ascorbique)), eau), farine de SEIGLE, sel, levure, gluten de BLÉ, farine d'ORGE maltée.;gluten;lait, graines de sésame, fruits à coque, œufs;"Source de proteines; Source de fibre; Vegan; Végétarien; Clean Label; Halal; Farine CRC; Avec Levain";15;n.d.;ACTIF;PAIN-BAGU-280c;https://www.bridor.com/fr-fr/catalogue-produit/pains/baguettes/baguette-de-campagne-280g-34792;2026-09-10
Bridor;37022;Baguettine Bleu Blanc Cœur 140g;PAIN;pains-sandwich;Mieux-être;PRECUIT;140g;50;28;7.0;farine de BLÉ, eau, farine de lin jaune 1,1%, levure, sel, gluten de BLÉ, farine de BLÉ malté, agent de traitement de la farine (acide ascorbique).;gluten;lait, graines de sésame, fruits à coque, œufs;"Source de proteines; Vegan; Végétarien; Clean Label; Farine CRC";15;n.d.;ACTIF;PAIN-PAIN-140;https://www.bridor.com/fr-fr/catalogue-produit/pains/pains-sandwich/baguettine-bleu-blanc-caeur-140g-37022;2026-09-10
Bridor;42619;Baguettine Caractère 140g;PAIN;pains-sandwich;Les Gourmets;PRECUIT;140g;50;32;7.0;farine de BLÉ, eau, levain (farine de BLÉ meule, eau), farine de maïs torréfié, sel, levure, gluten de BLÉ, farine de BLÉ malté.;gluten;lait, graines de sésame, soja, fruits à coque, œufs;"Source de proteines; Vegan; Végétarien; Clean Label; Halal; Farine CRC; Avec Levain";15;n.d.;ACTIF;PAIN-PAIN-140a;https://www.bridor.com/fr-fr/catalogue-produit/pains/pains-sandwich/baguettine-caractere-140g-42619;2026-09-10
Bridor;42884;Baguettine Gourmet aux Graines 140g;PAIN;pains-sandwich;Les Gourmets;PRECUIT;140g;50;32;7.0;farine de BLÉ, eau, finition 2,6% (graines de chia 0,66%, graines de lin brun 0,66%, graines de lin jaune 0,66%, graines de quinoa blanc 0,66%), levure, graines de quinoa rouge 1%, sel, farine de maïs torréfié, levain de BLÉ dévitalisé déshydraté, graines d'amarante 0,85%, graines de millet 0,85%, graines de tournesol 0,83%, graines de chia 0,5%, graines de quinoa blanc 0,5%, gluten de BLÉ, flocons de BLÉ d'ÉPEAUTRE, graines de lin brun 0,35%, graines de sarrasin 0,35%, farine d'ORGE maltée, agent de traitement de la farine (acide ascorbique), farine de BLÉ malté.;gluten;lait, graines de sésame, fruits à coque, œufs;"Source de proteines; Source de fibre; Vegan; Végétarien; Clean Label; Halal; Farine CRC; Avec Levain";15;n.d.;ACTIF;PAIN-PAIN-140b;https://www.bridor.com/fr-fr/catalogue-produit/pains/pains-sandwich/baguettine-gourmet-aux-graines-140g-42884;2026-09-10
Bridor;31611;Baguettine Graines et Céréales 140g;PAIN;pains-sandwich;Les Gourmets;PRECUIT;140g;28;64;3.92;farine de BLÉ, eau, levain (farine de BLÉ meule, eau), graines de SÉSAME 2,6%, flocons de BLÉ malté 1,9%, graines de lin brun 1,9%, sel, levure, flocons de germe de BLÉ 0,5%, gluten de BLÉ, levure désactivée, farine de BLÉ malté.;gluten, graines de sésame;lait, fruits à coque, œufs;"Source de proteines; Source de fibre; Vegan; Végétarien; Clean Label; Halal; Farine CRC; Avec Levain";15;n.d.;ACTIF;PAIN-PAIN-140c;https://www.bridor.com/fr-fr/catalogue-produit/pains/pains-sandwich/baguettine-graines-et-cereales-140g-31611;2026-09-10
Bridor;37393;B'Break 2 olives et Romarin 70g;PAIN;petits-pains;Les Gourmands;CUIT;70g;40;96;2.8;farine de BLÉ, eau, olives noires 15,1%, olives vertes 14,6%, huile d'olive, sel, levure, gluten de BLÉ, romarin 0,2%, correcteur d'acidité (acide citrique), farine de BLÉ malté.;gluten;lait, graines de sésame, fruits à coque, œufs;"Vegan; Végétarien; Clean Label; Halal";15;n.d.;ACTIF;PAIN-PETI-70;https://www.bridor.com/fr-fr/catalogue-produit/pains/petits-pains/b-break-2-olives-et-romarin-70g-37393;2026-09-10
Bridor;37394;B'Break Chorizo 70g;PAIN;petits-pains;Les Gourmands;CUIT;70g;40;96;2.8;farine de BLÉ, eau, chorizo fumé 16,9% (viande de porc 16,4% [Union européenne], sirop de glucose, épices et aromates, sel, antioxydant (ascorbate de sodium), conservateur (nitrite de sodium)), huile d'olive, paprika, sel, levure, gluten de BLÉ, farine de BLÉ malté.;gluten;lait, graines de sésame, fruits à coque, œufs;Source de proteines;15;n.d.;ACTIF;PAIN-PETI-70a;https://www.bridor.com/fr-fr/catalogue-produit/pains/petits-pains/b-break-chorizo-70g-37394;2026-09-10
Bridor;42665;Boule Chocolat 60g;PAIN;petits-pains;Les Gourmands;PRECUIT;60g;60;64;3.6;farine de BLÉ, eau, chocolat noir 15,8% (sucre, pâte de cacao, beurre de cacao, cacao maigre en poudre, arôme naturel de vanille, émulsifiant (lécithine de SOJA)), sucre, poudre de cacao, sel, levure, gluten de BLÉ, correcteur d'acidité (carbonate de potassium), farine de BLÉ malté.;gluten, soja;lait, graines de sésame, fruits à coque, œufs;"Vegan; Végétarien; Clean Label; Halal";15;n.d.;ACTIF;PAIN-PETI-60;https://www.bridor.com/fr-fr/catalogue-produit/pains/petits-pains/boule-chocolat-60g-42665;2026-09-10
Bridor;35130;Boule Rustique 55g;PAIN;petits-pains;Les Gourmets;PRECUIT;55g;70;64;3.85;farine de BLÉ, eau, farine de BLÉ meule, gluten de BLÉ, sel, levure, levure désactivée, farine de BLÉ malté.;gluten;lait, graines de sésame, fruits à coque, œufs;"Source de proteines; Vegan; Végétarien; Clean Label; Halal; Farine CRC";15;n.d.;ACTIF;PAIN-PETI-55;https://www.bridor.com/fr-fr/catalogue-produit/pains/petits-pains/boule-rustique-55g-35130;2026-09-10
Bridor;33363;Le Bâtard 330g;PAIN;pains-a-partager;Bridor Signé Frédéric Lalos;PRECUIT;330g;20;32;6.6;farine de BLÉ, eau, levain 10,5% (farine de BLÉ, eau, gluten de BLÉ, farine de BLÉ malté), sel, levain de BLÉ dévitalisé déshydraté, levure, gluten de BLÉ, farine de BLÉ malté.;gluten;lait, graines de sésame, fruits à coque, œufs;"Source de proteines; Vegan; Végétarien; Clean Label; Halal; Avec Levain";15;n.d.;ACTIF;PAIN-PAIN-330;https://www.bridor.com/fr-fr/catalogue-produit/pains/pains-a-partager/le-batard-330g-33363;2026-09-10
Bridor;33365;Le Bâtard 540g;PAIN;pains-a-partager;Bridor Signé Frédéric Lalos;PRECUIT;540g;14;24;7.56;farine de BLÉ, eau, levain (farine de BLÉ, eau, gluten de BLÉ, farine de BLÉ malté), sel, levain de BLÉ dévitalisé déshydraté, levure, gluten de BLÉ, farine de BLÉ malté.;gluten;lait, graines de sésame, fruits à coque, œufs;"Source de proteines; Vegan; Végétarien; Clean Label; Halal; Avec Levain";15;n.d.;ACTIF;PAIN-PAIN-540;https://www.bridor.com/fr-fr/catalogue-produit/pains/pains-a-partager/le-batard-540g-33365;2026-09-10
Bridor;34233;Le Complet 330g;PAIN;pains-a-partager;Bridor Signé Frédéric Lalos;PRECUIT;330g;26;32;8.58;farine de BLÉ, eau, levain 5% (farine de BLÉ, eau), gluten de BLÉ, levain de BLÉ dévitalisé déshydraté, sel, levure, farine de BLÉ malté.;gluten;lait, graines de sésame, fruits à coque, œufs;"Source de proteines; Source de fibre; Riche en Fibres; Vegan; Végétarien; Clean Label; Halal; Avec Levain";15;n.d.;ACTIF;PAIN-PAIN-330a;https://www.bridor.com/fr-fr/catalogue-produit/pains/pains-a-partager/le-complet-330g-34233;2026-09-10
Bridor;38148;Le Céréalier 280g;PAIN;pains-a-partager;Bridor Signé Frédéric Lalos;PRECUIT;280g;28;32;7.84;farine de BLÉ, eau, levain (farine de BLÉ meule, eau), graines de SÉSAME 2%, flocons de BLÉ malté 1,4%, graines de lin brun 1,4%, graines de lin jaune 1,4%, sel, graines de tournesol 0,7%, levure, gluten de BLÉ, farine de BLÉ malté.;gluten, graines de sésame;lait, fruits à coque, œufs;"Source de proteines; Source de fibre; Vegan; Végétarien; Clean Label; Halal; Farine CRC; Avec Levain";15;n.d.;ACTIF;PAIN-PAIN-280;https://www.bridor.com/fr-fr/catalogue-produit/pains/pains-a-partager/le-cerealier-280g-38148;2026-09-10
Bridor;40517;Focaccia Cinquanta Nature 450g;PAIN;autres-pains;Les Evasions;PRECUIT;450g;12;48;5.4;farine de BLÉ, eau, semoule de BLÉ moulue, huile de tournesol, huile d'olive vierge extra, sel, levure, farine de BLÉ malté.;gluten;lait, moutarde, soja;"Source de proteines; Clean Label; Cultures Boulangères";12;n.d.;ACTIF;PAIN-AUTR-450;https://www.bridor.com/fr-fr/catalogue-produit/pains/autres-pains/focaccia-cinquanta-nature-450g-40517;2026-09-10
