fournisseur;ref_sku;nom_commercial;famille;categorie;gamme;technologie;poids_unitaire;unites_par_colis;colis_par_palette;poids_colis_kg;ingredients;allergenes_declares;traces_possibles;labels;ddm_mois;provenance;statut;id_generique;motif_nouveau;url_source;date_collecte
Coup de Pates;25110;CROISSANT BEURRE CHARENTES POITOU AOP 80G;VIEN;croissants;Coup de Pates;CRU;80g;150;n.d.;12.0;n.d.;"gluten; œufs; lait";"soja; fruits à coque";AOP;n.d.;n.d.;ACTIF;VIEN-CROI;NOUVEAU proposé : croissant 80g — aucun générique existant ne combine cette nature et ce grammage;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/CROISSANTS-CRUS/CROISSANT-BEURRE-CHARENTES-POITOU-AOP-80G/p/25110;2026-09-10
Coup de Pates;70648;CROISSANT BIO PUR BEURRE PREPOUSSE 70G;VIEN;croissants;Coup de Pates;PAC;70g;60;n.d.;4.2;n.d.;"gluten; œufs; lait";"soja; fruits à coque; sésame";"BIO; Pur beurre";n.d.;n.d.;ACTIF;VIEN-CROI;NOUVEAU proposé : croissant 70g — aucun générique existant ne combine cette nature et ce grammage;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/CROISSANTS-PREPOUSSES/CROISSANT-BIO-PUR-BEURRE-PREPOUSSE-70G/p/70648;2026-09-10
Coup de Pates;28113;CROISSANT AUX AMANDES;VIEN;croissants-fourres;Coup de Pates;CRU;85g;90;n.d.;7.65;n.d.;"gluten; œufs; lait; fruits à coque";"soja; sésame";;n.d.;n.d.;ACTIF;VIEN-CROF;NOUVEAU proposé : croissant fourré amande 85g — aucun générique existant ne combine cette nature et ce grammage;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/VIENNOISERIES-GOURMANDES/CROISSANT-AUX-AMANDES/p/28113;2026-09-10
Coup de Pates;70652;CROISSANT ABRICOT CRU 125G;VIEN;croissants-fourres;Coup de Pates;NON_RENSEIGNE;125g;70;n.d.;8.75;n.d.;"gluten; œufs; lait";"soja; fruits à coque";;n.d.;n.d.;ACTIF;VIEN-CROF;NOUVEAU proposé : croissant fourré abricot 125g — aucun générique existant ne combine cette nature et ce grammage;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/VIENNOISERIES-GOURMANDES/CROISSANT-ABRICOT-CRU-125G/p/70652;2026-09-10
Coup de Pates;841739;CROISSANT ABRICOT PREPOUSSE 120G;VIEN;croissants-fourres;Coup de Pates;PAC;120g;35;n.d.;4.2;n.d.;"gluten; œufs; lait";"soja; fruits à coque; céleri; moutarde; sésame";;n.d.;n.d.;ACTIF;VIEN-CROF;NOUVEAU proposé : croissant fourré abricot 120g — aucun générique existant ne combine cette nature et ce grammage;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/VIENNOISERIES-GOURMANDES/CROISSANT-ABRICOT-PREPOUSSE-120G/p/841739;2026-09-10
Coup de Pates;25960;MINI PAIN CHOCOLAT 2 BARRES PREPOUSSE;VIEN;pains-au-chocolat;Coup de Pates;PAC;25g;250;n.d.;6.25;n.d.;"gluten; œufs; soja; lait";"fruits à coque; sésame";;n.d.;n.d.;ACTIF;VIEN-PCHO-MINI;;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/MINI-VIENNOISERIES-CLASSIQUES/MINI-PAIN-CHOCOLAT-2-BARRES-PREPOUSSE/p/25960;2026-09-10
Coup de Pates;25004;MINI PAIN CHOCOLAT 2 BARRES SELECTION PREPOUSSE;VIEN;pains-au-chocolat;Coup de Pates;PAC;25g;250;n.d.;6.25;n.d.;"gluten; œufs; soja; lait";"fruits à coque; sésame";;n.d.;n.d.;ACTIF;VIEN-PCHO-MINI;;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/MINI-VIENNOISERIES-CLASSIQUES/MINI-PAIN-CHOCOLAT-2-BARRES-SELECTION-PREPOUSSE/p/25004;2026-09-10
Coup de Pates;70651;MINI PAIN CHOCOLAT D'HUBERT PREPOUSSE 25G;VIEN;pains-au-chocolat;Coup de Pates;PAC;25g;160;n.d.;4.0;n.d.;"gluten; œufs; soja; lait";fruits à coque;;n.d.;n.d.;ACTIF;VIEN-PCHO-MINI;;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/MINI-VIENNOISERIES-CLASSIQUES/MINI-PAIN-CHOCOLAT-D%27HUBERT-PREPOUSSE-25G/p/70651;2026-09-10
Coup de Pates;840821;MINI PAIN CHOCOLAT 2 BARRES BEURRE FIN 30G;VIEN;pains-au-chocolat;Coup de Pates;CRU;30g;200;n.d.;6.0;n.d.;"gluten; lait";"œufs; soja; fruits à coque";Beurre fin;n.d.;n.d.;ACTIF;VIEN-PCHO-MINI;NOUVEAU proposé : mini pain au chocolat 30g — aucun générique existant ne combine cette nature et ce grammage;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/MINI-VIENNOISERIES-CLASSIQUES/MINI-PAIN-CHOCOLAT-2-BARRES-BEURRE-FIN-30G/p/840821;2026-09-10
Coup de Pates;25978;MINI PAIN CHOCOLAT 2 BARRES PREPOUSSE BEURRE D'ISIGNY AOP;VIEN;pains-au-chocolat;Coup de Pates;PAC;40g;170;n.d.;6.8;n.d.;"gluten; œufs; lait";soja;AOP;n.d.;n.d.;ACTIF;VIEN-PCHO-MINI;NOUVEAU proposé : mini pain au chocolat 40g — aucun générique existant ne combine cette nature et ce grammage;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/MINI-VIENNOISERIES-CLASSIQUES/MINI-PAIN-CHOCOLAT-2-BARRES-PREPOUSSE-BEURRE-D%27ISIGNY-AOP/p/25978;2026-09-10
Coup de Pates;25113;PAIN CHOCOLAT 2 BARRES BEURRE D´ISIGNY AOP 80G;VIEN;pains-au-chocolat;Coup de Pates;CRU;80g;150;n.d.;12.0;n.d.;"gluten; œufs; lait";"soja; fruits à coque";AOP;n.d.;n.d.;ACTIF;VIEN-PCHO;NOUVEAU proposé : pain au chocolat 80g — aucun générique existant ne combine cette nature et ce grammage;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/PAINS-AU-CHOCOLAT-CRUS/PAIN-CHOCOLAT-2-BARRES-BEURRE-D%C2%B4ISIGNY-AOP-80G/p/25113;2026-09-10
Coup de Pates;25098;PAIN CHOCOLAT 2 BARRES DU FOURNIL 80G;VIEN;pains-au-chocolat;Coup de Pates;CRU;80g;150;n.d.;12.0;n.d.;"gluten; soja; lait";"œufs; fruits à coque; sésame";;n.d.;n.d.;ACTIF;VIEN-PCHO;NOUVEAU proposé : pain au chocolat 80g — aucun générique existant ne combine cette nature et ce grammage;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/PAINS-AU-CHOCOLAT-CRUS/PAIN-CHOCOLAT-2-BARRES-DU-FOURNIL-80G/p/25098;2026-09-10
Coup de Pates;70579;PAIN CHOCOLAT 2 BARRES BIO PUR BEURRE PREPOUSSE 75G;VIEN;pains-au-chocolat;Coup de Pates;PAC;75g;70;n.d.;5.25;n.d.;"gluten; œufs; lait";"soja; fruits à coque; sésame";"BIO; Pur beurre";n.d.;n.d.;ACTIF;VIEN-PCHO;NOUVEAU proposé : pain au chocolat 75g — aucun générique existant ne combine cette nature et ce grammage;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/PAINS-AU-CHOCOLAT-PREPOUSSES/PAIN-CHOCOLAT-2-BARRES-BIO-PUR-BEURRE-PREPOUSSE-75G/p/70579;2026-09-10
Coup de Pates;25095;PAIN CHOCOLAT 2 BARRES BEURRE CHARENTES POITOU AOP 90G;VIEN;pains-au-chocolat;Coup de Pates;CRU;90g;100;n.d.;9.0;n.d.;"gluten; œufs; lait";"soja; fruits à coque";AOP;n.d.;n.d.;ACTIF;VIEN-PCHO;NOUVEAU proposé : pain au chocolat 90g — aucun générique existant ne combine cette nature et ce grammage;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/PAINS-AU-CHOCOLAT-CRUS/PAIN-CHOCOLAT-2-BARRES-BEURRE-CHARENTES-POITOU-AOP-90G/p/25095;2026-09-10
Coup de Pates;25958;MINI PAIN RAISIN PREPOUSSE;VIEN;pains-aux-raisins;Coup de Pates;PAC;30g;120;n.d.;3.6;n.d.;"gluten; œufs; lait";"soja; fruits à coque; sésame";;n.d.;n.d.;ACTIF;VIEN-PRAI-MINI;;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/MINI-VIENNOISERIES-CLASSIQUES/MINI-PAIN-RAISIN-PREPOUSSE/p/25958;2026-09-10
Coup de Pates;25003;MINI PAIN RAISIN SELECTION PREPOUSSE;VIEN;pains-aux-raisins;Coup de Pates;PAC;30g;120;n.d.;3.6;n.d.;"gluten; œufs; lait";"soja; fruits à coque; sésame";;n.d.;n.d.;ACTIF;VIEN-PRAI-MINI;;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/MINI-VIENNOISERIES-CLASSIQUES/MINI-PAIN-RAISIN-SELECTION-PREPOUSSE/p/25003;2026-09-10
Coup de Pates;25270;MINI PAIN RAISIN FEUILLETE;VIEN;pains-aux-raisins;Coup de Pates;CRU;35g;150;n.d.;5.25;n.d.;"gluten; lait";"œufs; soja; fruits à coque";;n.d.;n.d.;ACTIF;VIEN-PRAI-MINI;NOUVEAU proposé : mini pain aux raisins 35g — aucun générique existant ne combine cette nature et ce grammage;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/MINI-VIENNOISERIES-CLASSIQUES/MINI-PAIN-RAISIN-FEUILLETE/p/25270;2026-09-10
Coup de Pates;25104;PAIN RAISIN FEUILLETE BEURRE FIN;VIEN;pains-aux-raisins;Coup de Pates;CRU;105g;120;n.d.;12.6;n.d.;"gluten; œufs; lait";"soja; fruits à coque; sésame";Beurre fin;n.d.;n.d.;ACTIF;VIEN-PRAI;NOUVEAU proposé : pain aux raisins 105g — aucun générique existant ne combine cette nature et ce grammage;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/PAINS-AUX-RAISINS/PAIN-RAISIN-FEUILLETE-BEURRE-FIN/p/25104;2026-09-10
Coup de Pates;25144;BRIOCHETTE BOULE;VIEN;autres-viennoiseries;Coup de Pates;CRU;60g;150;n.d.;9.0;n.d.;"gluten; œufs; lait";fruits à coque;;n.d.;n.d.;ACTIF;VIEN-AUTR;;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/BRIOCHES/BRIOCHETTE-BOULE/p/25144;2026-09-10
Coup de Pates;25077;BRIOCHETTE TETE;VIEN;autres-viennoiseries;Coup de Pates;CRU;50g;80;n.d.;4.0;n.d.;"gluten; œufs; lait";fruits à coque;;n.d.;n.d.;ACTIF;VIEN-AUTR;NOUVEAU proposé : briochette 50g — aucun générique existant ne combine cette nature et ce grammage;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/BRIOCHES/BRIOCHETTE-TETE/p/25077;2026-09-10
Coup de Pates;25130;CHAUSSON POMME;VIEN;autres-viennoiseries;Coup de Pates;CRU;100g;54;n.d.;5.4;n.d.;"gluten; œufs; lait";"soja; fruits à coque";;n.d.;n.d.;ACTIF;VIEN-AUTR;NOUVEAU proposé : chausson aux pommes 100g — aucun générique existant ne combine cette nature et ce grammage;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/CHAUSSONS/CHAUSSON-POMME/p/25130;2026-09-10
Coup de Pates;25115;CHAUSSON POMME BEURRE D´ISIGNY AOP;VIEN;autres-viennoiseries;Coup de Pates;CRU;100g;40;n.d.;4.0;n.d.;"gluten; œufs; lait";"soja; fruits à coque";AOP;n.d.;n.d.;ACTIF;VIEN-AUTR;NOUVEAU proposé : chausson aux pommes 100g — aucun générique existant ne combine cette nature et ce grammage;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/CHAUSSONS/CHAUSSON-POMME-BEURRE-D%C2%B4ISIGNY-AOP/p/25115;2026-09-10
Coup de Pates;25417;CHAUSSON POMME D HUBERT CRU 120G;VIEN;autres-viennoiseries;Coup de Pates;CRU;120g;40;n.d.;4.8;n.d.;"gluten; œufs; lait";"soja; fruits à coque";;n.d.;n.d.;ACTIF;VIEN-AUTR;NOUVEAU proposé : chausson aux pommes 120g — aucun générique existant ne combine cette nature et ce grammage;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/CHAUSSONS/CHAUSSON-POMME-D-HUBERT-CRU-120G/p/25417;2026-09-10
Coup de Pates;71094;BRIOCHE FEUILLETEE INDIVIDUELLE CRUE 80G;VIEN;autres-viennoiseries;Coup de Pates;CRU;80g;56;n.d.;4.48;n.d.;"gluten; œufs; lait";fruits à coque;;n.d.;n.d.;ACTIF;VIEN-AUTR;NOUVEAU proposé : brioche feuilletée 80g — aucun générique existant ne combine cette nature et ce grammage;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/BRIOCHES/BRIOCHE-FEUILLETEE-INDIVIDUELLE-CRUE-80G/p/71094;2026-09-10
Coup de Pates;70667;BRIOCHE FEUILLETEE SUCRE GRAIN CUITE 300G;VIEN;autres-viennoiseries;Coup de Pates;CUIT;300g;7;n.d.;2.1;n.d.;"gluten; œufs; lait";fruits à coque;;n.d.;n.d.;ACTIF;VIEN-AUTR;NOUVEAU proposé : brioche feuilletée 300g — aucun générique existant ne combine cette nature et ce grammage;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/BRIOCHES/BRIOCHE-FEUILLETEE-SUCRE-GRAIN-CUITE-300G/p/70667;2026-09-10
Coup de Pates;833155;BRIOCHE NANTERRE AUX PRALINES;VIEN;autres-viennoiseries;Coup de Pates;CUIT;400g;8;n.d.;3.2;n.d.;"gluten; œufs; lait; fruits à coque";"soja; sésame";;n.d.;n.d.;ACTIF;VIEN-AUTR;NOUVEAU proposé : brioche nanterre aux pralines 400g — aucun générique existant ne combine cette nature et ce grammage;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/BRIOCHES/BRIOCHE-NANTERRE-AUX-PRALINES/p/833155;2026-09-10
Coup de Pates;841703;BRIOCHE BABKA CUIT 400G;VIEN;autres-viennoiseries;Coup de Pates;CUIT;400g;16;n.d.;6.4;n.d.;"gluten; œufs; lait";n.d.;;n.d.;n.d.;ACTIF;VIEN-AUTR;NOUVEAU proposé : brioche babka 400g — aucun générique existant ne combine cette nature et ce grammage;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/BRIOCHES/BRIOCHE-BABKA-CUIT-400G/p/841703;2026-09-10
Coup de Pates;27156;PASTEL DE NATA DIAM 70;PATI;pastel-de-nata;Coup de Pates;CRU;66g;90;n.d.;5.94;n.d.;"gluten; œufs; lait";"poisson; soja; fruits à coque; céleri; sésame";;n.d.;n.d.;ACTIF;PATI-PAST;NOUVEAU proposé : pastel de nata 66g — aucun générique existant ne combine cette nature et ce grammage;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/TARTES-%26-TARTELETTES/PASTEL-DE-NATA-DIAM-70/p/27156;2026-09-10
Coup de Pates;27583;GROS MACARON CHOCOLAT DIAM 70;PATI;macarons;Coup de Pates;CUIT;55g;24;n.d.;1.32;n.d.;"œufs; soja; lait; fruits à coque";"gluten; arachides et produits à base d'arachides; sésame";;n.d.;n.d.;ACTIF;PATI-MACA-DESSERT;NOUVEAU proposé : macaron individuel chocolat 55g — aucun générique existant ne combine cette nature et ce grammage;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/ENTREMETS/GROS-MACARON-CHOCOLAT-DIAM-70/p/27583;2026-09-10
Coup de Pates;27588;GROS MACARON VANILLE DIAM 75;PATI;macarons;Coup de Pates;CUIT;55g;24;n.d.;1.32;n.d.;"œufs; soja; lait; fruits à coque";"gluten; arachides et produits à base d'arachides; sésame";;n.d.;n.d.;ACTIF;PATI-MACA-DESSERT;NOUVEAU proposé : macaron individuel vanille 55g — aucun générique existant ne combine cette nature et ce grammage;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/ENTREMETS/GROS-MACARON-VANILLE-DIAM-75/p/27588;2026-09-10
Coup de Pates;840164;MACARON CHOCO COUL CARAMEL D 75;PATI;macarons;Coup de Pates;CUIT;80g;24;n.d.;1.92;n.d.;"œufs; soja; lait; fruits à coque";"gluten; arachides et produits à base d'arachides; sésame";;n.d.;n.d.;ACTIF;PATI-MACA-DESSERT;NOUVEAU proposé : macaron individuel caramel 80g — aucun générique existant ne combine cette nature et ce grammage;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/ENTREMETS/MACARON-CHOCO-COUL-CARAMEL-D-75/p/840164;2026-09-10
Coup de Pates;70467;MACARON MANGUE PASSION CUIT 75G;PATI;macarons;Coup de Pates;CUIT;75g;15;n.d.;1.12;n.d.;"œufs; soja; lait; fruits à coque";n.d.;;n.d.;n.d.;ACTIF;PATI-MACA-DESSERT;NOUVEAU proposé : macaron individuel mangue passion 75g — aucun générique existant ne combine cette nature et ce grammage;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/ENTREMETS/MACARON-MANGUE-PASSION-CUIT-75G/p/70467;2026-09-10
Coup de Pates;838234;MADELEINE NATURE;PATI;autres-patisseries;Coup de Pates;CUIT;50g;60;n.d.;3.0;n.d.;"gluten; œufs; lait";"soja; fruits à coque";;n.d.;n.d.;ACTIF;PATI-AUTR;NOUVEAU proposé : madeleine 50g — aucun générique existant ne combine cette nature et ce grammage;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/P%C3%82TES-JAUNES%2C-SECHES-%26-A-CHOUX/MADELEINE-NATURE/p/838234;2026-09-10
Coup de Pates;826166;MINI MADELEINE DE COMMERCY;PATI;autres-patisseries;Coup de Pates;CUIT;18g;140;n.d.;2.52;n.d.;"gluten; œufs; lait";fruits à coque;;n.d.;n.d.;ACTIF;PATI-AUTR-MINI;NOUVEAU proposé : mini madeleine 18g — aucun générique existant ne combine cette nature et ce grammage;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE/P%C3%82TES-JAUNES%2C-SECHES-%26-A-CHOUX/MINI-MADELEINE-DE-COMMERCY/p/826166;2026-09-10
Coup de Pates;25177;DONUT;PATI;patisserie-americaine;Coup de Pates;CUIT;70g;48;n.d.;3.36;n.d.;"gluten; soja; lait";"œufs; fruits à coque";;n.d.;n.d.;ACTIF;PATI-AMER;NOUVEAU proposé : donut 70g — aucun générique existant ne combine cette nature et ce grammage;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE-P%C3%82TISSERIE-AMERICAINE/DONUTS/DONUT/p/25177;2026-09-10
Coup de Pates;25180;DONUT CHOCOLAT;PATI;patisserie-americaine;Coup de Pates;CUIT;55g;60;n.d.;3.3;n.d.;"gluten; soja; lait";"œufs; fruits à coque";;n.d.;n.d.;ACTIF;PATI-AMER;NOUVEAU proposé : donut chocolat 55g — aucun générique existant ne combine cette nature et ce grammage;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE-P%C3%82TISSERIE-AMERICAINE/DONUTS/DONUT-CHOCOLAT/p/25180;2026-09-10
Coup de Pates;25036;BROWNIES CHOCOLAT NOIX DE PECAN 80G;PATI;patisserie-americaine;Coup de Pates;CUIT;78g;50;n.d.;3.9;n.d.;"gluten; œufs; soja; lait; fruits à coque";n.d.;;n.d.;n.d.;ACTIF;PATI-AMER;NOUVEAU proposé : brownie chocolat noix de pécan 78g — aucun générique existant ne combine cette nature et ce grammage;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE-P%C3%82TISSERIE-AMERICAINE/BROWNIES/BROWNIES-CHOCOLAT-NOIX-DE-PECAN-80G/p/25036;2026-09-10
Coup de Pates;25065;COOKIES PEPITES DE CHOCOLAT CUIT;PATI;patisserie-americaine;Coup de Pates;CUIT;45g;60;n.d.;2.7;n.d.;"gluten; œufs; soja; lait";fruits à coque;;n.d.;n.d.;ACTIF;PATI-AMER;NOUVEAU proposé : cookie pépites chocolat 45g — aucun générique existant ne combine cette nature et ce grammage;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE-P%C3%82TISSERIE-AMERICAINE/COOKIES/COOKIES-PEPITES-DE-CHOCOLAT-CUIT/p/25065;2026-09-10
Coup de Pates;25032;MAXI COOKIES PEPITES DE CHOCOLAT BLANC NOIX DE MACADAMIA CUIT;PATI;patisserie-americaine;Coup de Pates;CUIT;80g;48;n.d.;3.84;n.d.;"gluten; œufs; soja; lait; fruits à coque";n.d.;;n.d.;n.d.;ACTIF;PATI-AMER;NOUVEAU proposé : maxi cookie 80g — aucun générique existant ne combine cette nature et ce grammage;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE-P%C3%82TISSERIE-AMERICAINE/COOKIES/MAXI-COOKIES-PEPITES-DE-CHOCOLAT-BLANC-NOIX-DE-MACADAMIA-CUIT/p/25032;2026-09-10
Coup de Pates;70720;MAXI MUFFIN PISTACHE CUIT 120G;PATI;patisserie-americaine;Coup de Pates;CUIT;120g;28;n.d.;3.36;n.d.;"gluten; œufs; soja; lait; fruits à coque";"arachides et produits à base d'arachides; moutarde";;n.d.;n.d.;ACTIF;PATI-AMER;NOUVEAU proposé : maxi muffin pistache 120g — aucun générique existant ne combine cette nature et ce grammage;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/VIENNOISERIE-P%C3%82TISSERIE-AMERICAINE/MUFFINS/MAXI-MUFFIN-PISTACHE-CUIT-120G/p/70720;2026-09-10
