id_matiere;categorie;nom_normalise;unite_achat;unite_recette;grammes_par_unite_achat;composition_nature;preuve_composition;substitut_de;allergenes;statut;note
MATP-FRUI-AMPO;fruits-secs;poudre d amandes;kg;g;1000;FRESH_NATURAL;DEFINITIONAL;;fruits a coque;ACTIF;
MATP-FRUI-NOIS;fruits-secs;noisette torrefiee;kg;g;1000;FRESH_NATURAL;DEFINITIONAL;;fruits a coque;ACTIF;
MATP-FRUI-PIST;fruits-secs;pate de pistache;kg;g;1000;FRESH_NATURAL;DEFINITIONAL;;fruits a coque;ACTIF;
MATP-FRUI-FRPU;fruits-secs;puree de fraise;kg;g;1000;FRESH_NATURAL;DEFINITIONAL;;;ACTIF;
MATP-AROM-VAGO;aromes;gousse de vanille;piece;g;;FRESH_NATURAL;DEFINITIONAL;;;TO_VERIFY;Poids unitaire tres variable, a relever par lot
MATP-AROM-VAEX;aromes;extrait naturel de vanille;L;ml;;FRESH_NATURAL;DEFINITIONAL;;;TO_VERIFY;Masse volumique a relever
MATP-AROM-VAAR;aromes;arome vanille artificiel;L;ml;;SUBSTITUTED;DEFINITIONAL;MATP-AROM-VAEX;;TO_VERIFY;"Vanilline de synthese; masse volumique a relever"
MATP-AROM-FRAR;aromes;arome fraise artificiel;L;ml;;SUBSTITUTED;DEFINITIONAL;MATP-FRUI-FRPU;;TO_VERIFY;Masse volumique a relever
MATP-AROM-CAEX;aromes;extrait de cafe;L;ml;;FRESH_NATURAL;DEFINITIONAL;;;TO_VERIFY;Masse volumique a relever
MATP-AROM-CAMO;aromes;cafe moulu;kg;g;1000;FRESH_NATURAL;DEFINITIONAL;;;ACTIF;
MATP-LEVU-FRAI;levures-agents;levure fraiche de boulangerie;kg;g;1000;FRESH_NATURAL;DEFINITIONAL;;;ACTIF;
MATP-LEVU-SECH;levures-agents;levure seche de boulangerie;kg;g;1000;FRESH_NATURAL;DEFINITIONAL;;;ACTIF;
MATP-LEVU-AMEL;levures-agents;ameliorant de panification;kg;g;1000;UNDECIDED;DEFINITIONAL;;gluten;ACTIF;Auxiliaire technologique: ne substitue pas un ingredient, modifie un procede. ADR-0001 laisse le cas ouvert.
MATP-SELS-FIN;sels;sel fin;kg;g;1000;FRESH_NATURAL;DEFINITIONAL;;;ACTIF;
MATP-LIQU-EAU;liquides;eau;L;ml;1000;FRESH_NATURAL;DEFINITIONAL;;;ACTIF;Masse volumique connue
